"title","name","credit_hours"
"COMP 531","WEB DEVELOPMENT AND DESIGN","3"
"COMP 532","INTRO TO DISTRIBUTED COMP SYS","4"
"COMP 533","INTRO TO DATABASE SYSTEMS","3"
"COMP 534","PARALLEL COMPUTING","4"
"COMP 535","APPROX COMP SYS FOR BIG DATA","4"
"COMP 536","SECURE & CLOUD COMPUTING","3"
"COMP 538","EMBEDDED HW SYSTEMS SECURITY","3"
"COMP 539","SOFTWARE ENGINEER METHODOLOGY","4"
"COMP 540","STATISTICAL MACHINE LEARNING","4"
"COMP 541","INTRO TO COMPUTER SECURITY","3"
"COMP 542","LARGE-SCALE MACHINE LEARNING","3"
"COMP 543","GR TOOLS & MODELS - DATA SCI","3"
"COMP 544","FUNCTIONAL PROGRAMMING","4"
"COMP 545","ADV TOPICS IN OPTIMIZATION","3"
"COMP 546","INTRO TO COMPUTER VISION","3"
"COMP 548","VERIFIED PROGRAMMING","3"
"COMP 549","DATA SCIENCE PROJECTS","4"
"COMP 550","ALGORITHMIC ROBOTICS","4"
"COMP 552","REINFORCEMENT LEARNING","3"
"COMP 553","BIG DATA MGMT FOR DATA SCIENCE","3"
"COMP 554","COMPUTER SYSTEMS ARCHITECTURE","4"
"COMP 555","DESIGN&ANALYSIS CYBER/PHYSICAL","4"
"COMP 556","INTRO TO COMPUTER NETWORKS","4"
"COMP 557","ARTIFICIAL INTELLIGENCE","4"
"COMP 558","QUANTUM COMPUTING ALGORITHMS","3"
"COMP 559","MACHINE LEARNING WITH GRAPHS","3"
"COMP 560","COMPUTER GRAPHICS","4"
"COMP 561","GEOMETRIC MODELING","4"
"COMP 562","ROBOTIC MANIPULATION","3"
"COMP 565","COMPUTATIONAL HRI","4"
"COMP 566","AI ETHICS","3"
"COMP 571","COMPUTATIONAL GENOMICS","3"
"COMP 572","BIOINFORMATICS: NETWORKS","3"
"COMP 573","BIOMEDICAL INFORMATICS","1 TO 3"
"COMP 574","COMP MICROBIAL FORENSICS","3"
"COMP 576","INTRODUCTION TO DEEP LEARNING","3"
"COMP 580","PROB ALGORITHM DATA STRUCTURE","4"
"COMP 581","AUTOMATA/FORMAL LANG/COMPUTING","3"
"COMP 582","GR DESGN ANALY OF ALGORITHMS","3"
"COMP 585","PROB TOOLKIT FOR LEARNING & CO","3"
"COMP 587","COMPUTATIONAL COMPLEXITY","3"
"COMP 590","COMPUTER SCIENCE PROJECTS","1 TO 4"
"COMP 591","GRAD COMPUTER SCIENCE TEACHING","3"
"COMP 598","INTRODUCTION TO ROBOTICS","3"
"COMP 600","GRADUATE SEMINAR","1"
"COMP 601","WRITING & EDITING CONF PAPERS","1"
"COMP 602","NEURAL MACHINE LEARNING II","3"
"COMP 603","AI ETHICS","1"
"COMP 604","PROF ETHICS AND COMM IN CS","3"
"COMP 605","GR SEM ON LEARNING THEORY","1 OR 3"
"COMP 607","AUTOMATED PROGRAM VERIFICATION","1"
"COMP 610","SOFTWARE CONSTRUCTION","3"
"COMP 611","PROGRAMMING & FORMAL METHODS","1 TO 3"
"COMP 613","PROGRAMMING LANGUAGES","3"
"COMP 614","PROGRAMMING FOR DATA SCIENCE","3"
"COMP 620","GRAD SEMINAR COMP SYSTEMS","1"
"COMP 621","SYSTEMS SOFTWARE","3"
"COMP 622","DATA ETHICS","3"
"COMP 625","COMPUTER ARCHITECTURE","3"
"COMP 628","CYBERSECURITY","3"
"COMP 630","DATABASES","3"
"COMP 631","INTRO TO INFO RETRIEVAL","3"
"COMP 640","GR SEM IN MACHINE LEARNING","1 TO 3"
"COMP 641","INTERACTIVE MACH LEARNING","1 TO 3"
"COMP 642","MACHINE LEARNING","3"
"COMP 643","BIG DATA","3"
"COMP 644","DATA PRIVACY & SECURITY","3"
"COMP 645","ADV TOPICS IN DISTRIBUTED SYST","1 TO 3"
"COMP 646","DEEP LEARN FOR VISION AND LANG","3"
"COMP 647","DEEP LEARNING","3"
"COMP 648","COMPUTER VISION SEMINAR","1 OR 3"
"COMP 649","QUANTUM COMPUTING SEMINAR","1"
"COMP 650","PHYSICAL COMPUTING","1 TO 3"
"COMP 652","NATURAL LANGUAGE PROCESSING","3"
"COMP 653","STATISTICAL MACHINE LEARNING","3"
"COMP 655","ROBOTIC MANIPULATION","1 TO 3"
"COMP 665","DATA VISUALIZATION","3"
"COMP 670","GR SEM ON COMP BIOLOGY","1"
"COMP 677","SPECIAL TOPICS","1 OR 3"
"COMP 680","STATS COMPUTING DATA SCIENCE","3"
"COMP 682","ALGORITHMS","3"
"COMP 685","LEARNING & ALGORITHMS FOR COMP","3"
"COMP 690","RESEARCH AND THESIS","1 TO 12"
"COMP 691","PEDAGOGY FOR COMPUTER SCIENCE","3"
"COMP 693","ADV TOPICS - COMPUTER SYSTEMS","1 TO 3"
"COMP 696","RTG CROSS-TRAINING IN DATA SCI","1"
"COMP 800","GRADUATE RESEARCH","1 TO 15"
