"title","name","credit_hours"
"PSYC 345","HEALTH PSYCHOLOGY","3"
"PSYC 351","PERCEPTION","3"
"PSYC 353","PSYC OF EMOTION & MOTIVATION","3"
"PSYC 354","INTRO TO SOC/AFFECTIVE NEURO","3"
"PSYC 362","COGNITIVE NEUROSCIENCE","3"
"PSYC 370","INTRO TO HUMAN FACTORS & ERGO","3"
"PSYC 375","NEUROPSYC OF LANGUAGE/MEMORY","3"
"SMGT 260","INTRO TO SPORT MANAGEMENT","3"
"SMGT 350","SPORT ETHICS","3"
"SMGT 361","SPORT FINANCE","3"
"SMGT 364","SPORT LAW","3"
"SOCI 101","INTRODUCTION TO SOCIOLOGY","3"
"SOCI 231","SOCIAL PROBLEMS","3"
"SOCI 301","SOCIAL INEQUALITY","3"
"SOCI 302","THE SOCIOLOGICAL IMAGINATION","3"
"SOCI 303","INEQUALITY, MOBILITY & SCHOOLS","3"
"SOCI 305","RACE, SPACE, PLACE","3"
"SOCI 306","SOCIOLOGY OF GENDER","3"
"SOCI 308","HOUSTON: SOCIOLOGY OF A CITY","3"
"SOCI 309","RACE & ETHNIC RELATIONS","3"
"SOCI 310","URBAN SOCIOLOGY","3"
"SOCI 311","SOCIOLOGY OF ASIANS AND ASIAN","3"
"SOCI 313","DEMOGRAPHY","3"
"SOCI 314","SCIENCE AT RISK","3"
"SOCI 321","CRIMINOLOGY","3"
"SOCI 333","SOCIOLOGY OF RELIGION","3"
"SOCI 334","SOCIOLOGY OF THE FAMILY","3"
"SOCI 340","SOCIOLOGY OF IMMIGRATION","3"
"SOCI 344","SOCIOLOGY OF MENTAL HEALTH","3"
"SOCI 345","MEDICAL SOCIOLOGY","3"
"SOCI 350","URBAN TRANSPORTATION","3"
"SOCI 366","HOUSING AND SCHOOLS","3"
"SOCI 367","ENVIRONMENTAL SOCIOLOGY","3"
"SOCI 380","SOCIAL THEORY","3"
"SOCI 389","RACE, GENDER, CLASS IN FILM","3"
"SOCI 410","RELIGION, GENDER, & INEQUALITY","3"
"SOCI 414","CRITICAL RACE THEORY","3"
"SOSC 300","INTRODUCTION TO PUBLIC POLICY","3"
"SOSC 303","QUALITATIVE METHODS","3"
"SOSC 364","INNOVATION FOR SOCIAL IMPACT","3"
"SOSC 464","SOCIAL ENTREPRENEURSHIP","3"
"SWGS 205","LANGUAGE AND SOCIETY","3"
"SWGS 250","SEX, MONEY, AND POWER","3"
"SWGS 324","SOCIOLOGY OF GENDER","3"
"SWGS 325","SOCIOLOGY OF THE FAMILY","3"
"SWGS 331","PSYCHOLOGY OF GENDER","3"
"SWGS 332","SOCIETY IN ANCIENT GREECE","3"
"SWGS 333","MASCULINITIES","3"
"SWGS 336","THE HISTORICAL IMAGINATION","3"
