"title","name","credit_hours"\
"ASIA 295","INTRO TO TRANSNATIONAL ASIA","3"\
"ASIA 301","THE JAIN WORLDVIEW","3"\
"ASIA 302","ASIAN PHILOSOPHY IN CONTEXT","3"\
"ASIA 322","INTRODUCTION TO BUDDHISM","3"\
"ASIA 323","BUDDHIST & DAOIST ART & RITUAL","3"\
"ASIA 332","FILM & MODERN CHINESE LIT","3"\
"ASIA 335","CLASSICAL CHINESE NOVELS","3"\
"ASIA 336","GENDER AND SOCIETY IN BUDDHISM","3"\
"ASIA 337","S ASIAN RELIGIOUS LANDSCAPES","3"\
"ASIA 339","CONSCIOUSNESS, INDIA, SCIENCE","3"\
"ASIA 342","E ASIAN ORTHODOXIES & HERESIES","3"\
"ASIA 355","CINEMA AND THE CITY","3"\
"ASIA 356","GENOMIC GOVERNANCE IN ASIA","3"\
"ASIA 357","ALGORITHMIC CULTURES IN ASIA","3"\
"ASIA 358","FILM AND SOCIETY IN SOUTH ASIA","3"\
"ASIA 360","CHINA AND THE CHINESE DIASPORA","3"\
"ASIA 368","THE AGE OF ISLAMIC EMPIRE","3"\
"ASIA 371","HOW TO READ CHINESE PAINTING","3"\
"ASIA 372","CHINESE ART AND THE WORLD","3"\
"ASIA 378","CROSS-CULTURAL ASIAN MUSIC","3"\
"ASIA 380","ASIAN AMERICAN HISTORY","3"\
"ASIA 422","ORIGINAL BEAUTY OF CHINESE LIT","3"\
"CHIN 206","ACCEL CHIN - HERITAGE LEARNERS","3"\
"CHIN 263","SECOND YEAR CHINESE I","3"\
"CHIN 264","SECOND YEAR CHINESE II","3"\
"CHIN 301","THIRD YEAR CHINESE I","3"\
"CHIN 302","THIRD YEAR CHINESE II","3"\
"CHIN 307","CHINESE SOCIETIES & CULTURES","3"\
"CHIN 311","ACCEL INTERMEDIATE CHINESE I","3"\
"CHIN 312","ACCEL INTERMEDIATE CHINESE II","3"\
"CHIN 319","SPECIAL TOPICS: ADV CHINESE I","3"\
"CHIN 332","FILM & MODERN CHINESE LIT","3"\
"CHIN 335","CLASSICAL CHINESE NOVELS","3"\
"CHIN 422","ORIGINAL BEAUTY OF CHINESE LIT","3"\
"CLAS 102","INTRO TO HIST OF ART I","3"\
"CLAS 107","GREEK CIVILIZATION & LEGACY","3"\
"CLAS 108","ROMAN CIVILIZATION &ITS LEGACY","3"\
"CLAS 124","ANTIQUITY IN CHILDREN'S LIT","3"\
"CLAS 208","THE FALL OF ROME","3"\
"CLAS 209","A SURVEY OF LATIN POETRY","3"\
"CLAS 210","HOMER AND VIRGIL","3"\
"CLAS 218","GREEK ART AND ARCHAEOLOGY","3"\
"CLAS 225","AUGUSTUS & 'GOLDEN AGE' ROME","3"\
"CLAS 235","CLASSICAL MYTHOLOGY","3"\
"CLAS 302","GREEK TRAGEDY","3"\
"CLAS 303","SOCRATES","3"\
"CLAS 336","INTRO TO INDO-EUROPEAN","3"\
"CLIC 369","APPROACHES - INTERCULTURAL COM","3"\
"CMST 201","HISTORY OF CINEMA AND MEDIA I","3"\
"CMST 202","HISTORY OF CINEMA AND MEDIA II","3"\
"CMST 203","INTRODUCTION TO FILM ANALYSIS","3"\
"CMST 204","INTRODUCTION TO MEDIA STUDIES","3"\
"ECON 365","WORLD ECONOMIC HISTORY","3"\
"EDUC 325","ADOLESCENT LITERATURE","3"\
"ENGL 100","INTRODUCTION TO LITERATURE","3"\
"ENGL 101","WHAT IS A FACT?","3"\
"ENGL 110","INTRODUCTION TO LITERATURE","3"\
"ENGL 150","HOUSTON - OUT ON THE TOWN","3"\
"ENGL 175","GLOBAL LITERATURES IN ENGLISH","3"\
"ENGL 200","GATEWAYS TO LITERARY STUDY","3"\
"ENGL 205","WRITERS ON WRITING","3"\
"ENGL 210","BEGINNINGS: BRIT LIT TO 1800","3"\
"ENGL 211","BRIT LIT ROMANTICISM TO 20TH C","3"\
"ENGL 222","WORLD AND SOUTH ASIA","3"\
"ENGL 230","INTRO TO LATINX LITERATURE","3"\
"ENGL 250","THE NOVEL & ITS CULTURAL POWER","3"\
"ENGL 251","READING POETRY	","3"\
"ENGL 252","HOW TO READ TEXTS","3"\
"ENGL 254","HISTORY OF LOVE","3"\
"ENGL 260","WHAT IS AMERICAN LITERATURE","3"\
"ENGL 262","DETECTIVES IN FILM & LIT","3"\
"ENGL 263","LATINX LAB","3"\
"ENGL 266","BLACK COMICS","3"\
"ENGL 267","INTRO TO AFRICAN AMER LIT","3"\
"ENGL 269","SCI FI AND THE ENVIRONMENT","3"\
"ENGL 270","ASPECTS OF MODERN LITERATURE","3"\
"ENGL 272","LITERATURE AND MEDICINE","3"\
"ENGL 273","MEDICINE AND MEDIA","3"\
"ENGL 274","HEAVEN AND HELL","3"\
"ENGL 279","BLACK SCI-FI","3"\
"ENGL 286","CLASSICAL & CONTEMPORARY FILM","3"\
"ENGL 301","INTRO TO FICTION WRITING","3"\
"ENGL 304","INTRO TO POETRY WRITING","3"\
"ENGL 305","INTRO CREATIVE NONFICT WRITING","3"\
"ENGL 308","INTRODUCTION TO PODCASTING","3"\
"ENGL 316","CHAUCER","3"\
"ENGL 317","ARTHURIAN LITERATURE","3"\
"ENGL 320","SHAKESPEARE ON FILM","3"\
"ENGL 321","SHAKESPEARE","3"\
"ENGL 322","TOPICS IN SHAKESPEARE","3"\
"ENGL 331","LIT/EXPERIMENTAL IMAGINATION","3"\
"ENGL 332","LIT OF BRITISH ENLIGHTENMENT","3"\
"ENGL 333","18TH CENTURY BRITISH FICTION","3"\
"ENGL 337","GOTHIC AMERICAN LITERATURE","3"\
"ENGL 338","BRITISH ROMANTICISM","3"\
"ENGL 339","ROMANTICISM:RUINS RACE REVOLUT","3"\
"ENGL 341","VICTORIAN LITERATURE & CULTURE","3"\
"ENGL 342","VICTORIAN FICTION","3"\
"ENGL 344","DICKENS","3"\
"ENGL 346","THE MODERN NOVEL IN BRITAIN","3"\
"ENGL 355","MODERN SHORT STORY","3"\
"ENGL 357","ORIGINS OF THE POSTMODERN","3"\
"ENGL 359","WRITING NEW ORLEANS —THE CITY","3"\
"ENGL 360","AMER LIT BEFORE THE CIVIL WAR","3"\
"ENGL 361","US LITERATURE CIVIL WAR TO WWI","3"\
"ENGL 362","MODERN AMERICAN FICTION","3"\
"ENGL 363","US NOVEL POST-WORLD WAR II","3"\
"ENGL 365","AMERICAN POETRY 1960-PRESENT","3"\
"ENGL 368","LITERATURE & THE ENVIRONMENT","3"\
"ENGL 370","AFRICAN AMERICAN LITERATURE","3"\
"ENGL 372","ASIAN AMERICAN LITERATURE","3"\
"ENGL 373","SURVEY OF AMER FILM & CULTURE","3"\
"ENGL 376","SE ASIAN LITERATURE IN ENGLISH","3"\
"ENGL 379","THIRD WORLD LITERATURE","3"\
"ENGL 380","CONTEMPORARY ANGLOPHONE LIT","3"\
"ENGL 383","GLOBAL FICTIONS","3"\
"ENGL 386","MEDICAL MEDIA ARTS LAB","4"\
"ENGL 389","YOUTH STUDIES","3"\
"ENGL 390","INTRODUCTION TO THEATRE","3"\
"ENGL 394","MORRISON & FAULKNER SEMINAR","3"\
"ENST 202","CULTURE ENERGY & ENVIRONMENT","3"\
"ENST 205","RECKONING W/ THE ANTHROPOCENE","3"\
"ENST 265","SCI FI AND THE ENVIRONMENT","3"\
"ENST 301","ENVIRONMENTAL JUSTICE","3"\
"ENST 314","CULTURE/MEDIA OF ENVIRO HEALTH","3"\
"ENST 316","ENVIRONMENTAL MEDIA","3"\
"ENST 368","LITERATURE & THE ENVIRONMENT","3"\
"EURO 101","INTRO TO EURO LIT & CULTURE I","3"\
"EURO 102","INTRO TO EURO LIT & CULTURE II","3"\
"EURO 320","TELL-ALL CONTEMPORARY LIT","3"\
"FILM 180","14 FILMS BEFORE YOU GRADUATE","4"\
"FILM 215","MYSTIC CINEMA","3"\
"FILM 218","EAST/NORTHEAST ASIA FILM HIST","3"\
"FILM 275","COMICS AND SEQUENTIAL ART","3"\
"FILM 280","HISTORY & AESTHETICS OF FILM","4"\
"FILM 284","NONFICTION FILM","4"\
"FILM 287","INTRO TO VIDEO AND INSTALL ART","3"\
"FILM 324","ENVIRONMENTAL FILMMAKING","3"\
"FILM 327","DOCUMENTARY PRODUCTION","3"\
"FILM 328","FILMMAKING I","3"\
"FILM 336","CINEMA AND THE CITY","3"\
"FILM 339","TRENDS IN CUBAN CULTURE","3"\
"FILM 373","SURVEY OF AMER FILM & CULTURE","3"\
"FILM 381","MEDICAL MEDIA ARTS LAB","4"\
"FILM 432","FILM GENRE: THE WESTERN","3"\
"FILM 433","FILM GENRE: SCIENCE FICTION","4"\
"FOTO 200","PHOTOGRAPHY IN THE COMMUNITY","3"\
"FOTO 205","INTRODUCTION TO PHOTOGRAPHY","3"\
"FOTO 206","PHOTOGRAPHY II","3"\
"FOTO 210","BEGINNING DIGITAL PHOTOGRAPHY","3"\
"FOTO 263","HISTORY OF PHOTOGRAPHY","3"\
"FOTO 310","INTERMEDIATE DIGITAL PHOTO","3"\
"FREN 263","SECOND YEAR FRENCH I","3"\
"FREN 264","SECOND YEAR FRENCH II","3"\
"FREN 301","GRAMMAR AND CULTURAL LITERACY","3"\
"FREN 302","WRITING WORKSHOP","3"\
"FREN 305","THE MEDIA IN FRANCE","3"\
"FREN 306","FRENCH SOCIETY & LANGUAGE USE","3"\
"FREN 307","FRENCH CULTURAL IDENTITY I","3"\
"FREN 308","BEAUTY AND THE BEAST(S)","3"\
"FREN 311","MIDDLE AGES TO ENLIGHTENMENT","3"\
"FREN 312","THE FRENCH REVOLUTION TO WWII","3"\
"FREN 313","THE FRANCOPHONE WORLD","3"\
"FREN 314","CONTEMPORARY FRENCH SOCIETY","3"\
"FREN 321","INTRO FRENCH SOCIETY & CULTURE","3"\
"FREN 324","FROM DECOLONI TO GLOBALIZATION","3"\
"FREN 325","FRENCH THEORY, IN ENGLISH","3"\
"FREN 337","SHAKESPEARE IN THE CARIBBEAN","3"\
"FREN 340","GENDER AROUND THE WORLD","3"\
"FREN 350","PARIS","3"\
"FREN 355","MODERN SHORT STORY","3"\
"FREN 370","WOMEN IN TALES OF FANTASTIC","3"\
"GERM 263","SECOND YEAR GERMAN I","3"\
"GERM 264","SECOND YEAR GERMAN II","3"\
"GERM 280","HISTORY OF CINEMA AND MEDIA I","3"\
"GERM 301","THIRD YEAR GERMAN I","3"\
"GERM 302","THIRD YEAR GERMAN II","3"\
"GERM 305","CURRENT ISSUES IN GERMAN","3"\
"GERM 307","FOLK & FAIRY TALE IN GERMAN","3"\
"GERM 309","GERMAN POETRY","3"\
"GERM 320","20TH CENTURY GERMAN THOUGHT","3"\
"GERM 322","MARX, FREUD, EINSTEIN","3"\
"GERM 324","BERLIN:RESIDENCE,METRO,CAPITAL","3"\
"GERM 325","MODERN GERMAN WRITERS: KAFKA","3"\
"GERM 326","GERMAN FAIRY TALE: OLD & NEW","3"\
"GERM 327","GERMAN EXPRESSIONISM","3"\
"GERM 332","NEW GERM FILM: HITLER'S CINEMA","3"\
"GERM 333","NIETZSCHE","3"\
"GERM 334","NATIONALISM AND CITIZENSHIP","3"\
"GERM 335","GERMAN FILM (IN ENGLISH)","3"\
"GERM 336","NATIONAL SOCIALISM AND FILM","3"\
"GERM 337","VIENNA 1800 TO THE PRESENT","3"\
"GERM 345","GERMAN HISTORY, 1890-1945","3"\
"GERM 352","THE POLITICS OF THE FLESH","3"\
"GERM 380","GERMAN HISTORY IN FILM","3"\
"GREE 201","INTERMEDIATE GREEK I: PROSE","3"\
"GREE 202","INTERMEDIATE GREEK","3"\
"GREE 302","HOMER","3"\
"GREE 306","ADVANCED GREEK: POETRY","3"\
"GREE 307","ADVANCED GREEK: PROSE","3"\
"HART 101","INTRO TO HIST OF ART I","3"\
"HART 102","INTRO HIST OF WESTERN ART II","3"\
"HART 115","MONUMENTS AND METHODS","3"\
"HART 118","GLOBAL ARCHITECTURE HIST I","3"\
"HART 125","GREAT ARTISTS AND FILMS","4"\
"HART 180","14 FILMS BEFORE YOU GRADUATE","4"\
"HART 201","ART AND ARCH OF ANCIENT ROME","3"\
"HART 202","MODERN ART IN EUROPE,1900-1945","3"\
"HART 203","GLOBAL MODERNISM","3"\
"HART 204","BLACK ART IN AMERICA","3"\
"HART 205","ART SINCE 1945","3"\
"HART 206","KEY ARTISTS AND WORKS OF ART","3"\
"HART 209","BEGINNING DIGITAL PHOTOGRAPHY","3"\
"HART 216","GREEK ART AND ARCHAEOLOGY","3"\
"HART 220","INTRODUCTION TO MEDIEVAL ART","3"\
"HART 221","CITIES, MOSQUES, PALACES","3"\
"HART 225","INTRO ARCHITECTURAL THINKING","3"\
"HART 228","INTRO TO A HIST OF ARCHITECT","3"\
"HART 241","ARTS OF RENAISSANCE EUROPE","3"\
"HART 257","NINETEENTH-CENTURY ART","3"\
"HART 263","HISTORY OF PHOTOGRAPHY","3"\
"HART 265","ART/ POLITICS MOD LATIN AMER","3"\
"HART 280","HISTORY & AESTHETICS OF FILM","4"\
"HART 284","NONFICTION FILM","4"\
"HART 286","CLASSICAL & CONTEMPORARY FILM","3"\
"HART 304","TRENDS IN CUBAN CULTURE","3"\
"HART 305","ART IN EUROPE, 1945-2000","3"\
"HART 307","WOMEN IN ANCIENT ART","3"\
"HART 318","AFRICAN DIASPORA STUDIES","3"\
"HART 319","ARCHITECTURE ISLAMIC EMPIRES","3"\
"HART 321","AMERICAN ART, 1800-1920","3"\
"HART 323","BUDDHIST & DAOIST ART & RITUAL","3"\
"HART 325","COFFEEHOUSE TEAHOUSE HISTORY","3"\
"HART 328","EPIPHANIES","3"\
"HART 330","EARLY MEDIEVAL ART","3"\
"HART 332","ART OF THE COURTS","3"\
"HART 336","CINEMA AND THE CITY","3"\
"HART 339","AMERICAN ART: 1620-1800","3"\
"HART 340","NORTHERN RENAISSANCE ART","3"\
"HART 341","EARLY RENAISSANCE ART IN ITALY","3"\
"HART 342","HIGH RENAISSN&MANNERISM ITALY","3"\
"HART 343","MASTERS OF THE BAROQUE ERA","3"\
"HART 345","FOUNDATIONS IN  ARCH I","3"\
"HART 347","SEMINAR ON LOVE","3"\
"HART 352","BLACK CONTEMPORARY ART","3"\
"HART 354","AGE OF ROMANTICISM IN EUROPE","3"\
"HART 358","IMPRESSIONISM/POST-IMP","3"\
"HART 364","GENDER AND SEXUALITY IN FILM","3"\
"HART 366","RADICAL BLACK THOUGHT IN ART","3"\
"HART 367","ARCHITECTURES POWER RESISTANCE","3"\
"HART 369","STATE OF THE ART","3"\
"HART 371","HOW TO READ CHINESE PAINTING","3"\
"HART 372","CHINESE ART AND THE WORLD","3"\
"HART 374","ART OF THE FRENCH REVOLUTION","3"\
"HART 377","MEDIEVAL MANUSCRIPTS","3"\
"HART 380","SURVEY OF AMER FILM & CULTURE","3"\
"HART 389","JUSTICE AND CINEMA","3"\
"HART 434","SEEING SEX IN EUROPEAN ART","3"\
"HIST 101","MODERN EUROPE, 1500-1789","3"\
"HIST 102","DEMOCRACY-POWER-INDUSTRY-EUROP","3"\
"HIST 108","WORLD HISTORY SINCE 1492","3"\
"HIST 111","RACE IN EARLY AMERICA","3"\
"HIST 112","MODERN PALESTINIAN HISTORY","3"\
"HIST 117","EARLY AMERICA TO THE CIVIL WAR","3"\
"HIST 118","UNITED STATES SINCE CIVIL WAR","3"\
"HIST 120","MEDIEVAL CIVILIZATIONS","3"\
"HIST 176","MEXICO: AN INTRODUCTION","3"\
"HIST 188","THE ATLANTIC WORLD","3"\
"HIST 200","ANCIENT EMPIRES","3"\
"HIST 201","JUDAISM OF JESUS AND HILLEL","3"\
"HIST 202","IMMIGRATION IN THE USA","3"\
"HIST 205","MEDIEVAL MEDITERRANEAN WORLD","3"\
"HIST 207","SPATIAL HISTORY HISTORICAL GIS","3"\
"HIST 208","RACE AND MEDICINE IN AMERICA","3"\
"HIST 210","REMEMBERING PAINFUL PASTS","3"\
"HIST 211","MEDIEVAL VIOLENCE","3"\
"HIST 212","CONTEMPORARY CHINA","3"\
"HIST 213","AGE OF MUHAMMAD TO ARAB SPRING","3"\
"HIST 214","THE HISTORY WARS","3"\
"HIST 215","BLACKS IN THE AMERICAS","3"\
"HIST 216","BLACK LIFE IN THE 19TH C. U.S.","3"\
"HIST 217","HISTORY: THE WORKSHOP","3"\
"HIST 218","EAST/NORTHEAST ASIA FILM HIST","3"\
"HIST 219","MONGOL EMPIRE","3"\
"HIST 220","MEXICO: 1910 TO PRESENT","3"\
"HIST 221","US - LATIN AMERICAN RELATIONS","3"\
"HIST 222","HISTORY OF EARLY AFRICA","3"\
"HIST 223","HISTORY OF MODERN AFRICA","3"\
"HIST 225","EUROPE SINCE 1945","3"\
"HIST 226","MESOAMERICAN MEXICO","3"\
"HIST 227","LATIN AM CULTURAL TRADITIONS","3"\
"HIST 228","MODERN LATIN AMERICA","3"\
"HIST 237","RADICALS IN THE AMERICAS","3"\
"HIST 239","NATIVE AMERICAN HISTORY","3"\
"HIST 243","HIST OF COMM TECHNOLOGIES","3"\
"HIST 244","MUSEUMS IN WORLD HISTORY","3"\
"HIST 246","AMERICAN CIVIL WAR ERA","3"\
"HIST 250","MAPPING THE WORLD","3"\
"HIST 251","BRAZIL: CONTINUITY & CHANGE","3"\
"HIST 256","EUR POLITICS&SOCIETY,1890-1945","3"\
"HIST 257","AUTHORITARIANISM, 1500 TO PRES","3"\
"HIST 260","EARLY HISTORY OF SCIENCE","3"\
"HIST 261","HISTORY OF MODERN SCIENCE","3"\
"HIST 266","SLAVERY & THE FOUNDING FATHERS","3"\
"HIST 271","HISTORY OF SOUTH ASIA","3"\
"HIST 275","MODERN MIDDLE EAST","3"\
"HIST 278","MODERN ARAB HISTORY","3"\
"HIST 281","GOLDEN AGE OF ISLAM","3"\
"HIST 295","THE AMERICAN SOUTH","3"\
"HIST 301","FIGHTING THE SLAVE TRADE","3"\
"HIST 305","READING HISTORIES OF WORK","3"\
"HIST 307","IMPERIAL ROME","3"\
"HIST 309","CHINESE INTELLECTUAL HISTORY","3"\
"HIST 310","BODY IN GLOBAL HIST OF MED","3"\
"HIST 311","SEX & GEN IN EUROPE, 1300-1700","3"\
"HIST 312","ENVIRONMENT & HEALTH IN LAT AM","3"\
"HIST 314","HISTORY OF AI","3"\
"HIST 315","BLACKS IN THE AMERICAS","3"\
"HIST 316","JEWS CHRISTIANS MEDIEVAL ISLAM","3"\
"HIST 319","ATOMIC AMERICA","3"\
"HIST 320","IMPERIAL PLEASURE GARDENS","3"\
"HIST 321","US ENVIRONMENTAL HISTORY","3"\
"HIST 323","ATLANTIC AFRICA","3"\
"HIST 324","COEXISTENCE IN MEDIEVAL SPAIN","3"\
"HIST 325","THE CENTURY OF THE GENE","3"\
"HIST 327","MEDIEVAL BORDERLANDS","3"\
"HIST 328","POVERTY & SOCIAL JUSTICE","3"\
"HIST 330","SLAVE TRADE & AFRO-AMERICA","3"\
"HIST 331","THE CUBAN REVOLUTION","3"\
"HIST 332","AMERICAN LEGAL HISTORY","3"\
"HIST 338","19TH C. WOMEN'S NARRATIVES","3"\
"HIST 339","HISTORY OF SLAVE EXPERIENCE","3"\
"HIST 340","HISTORY OF FEMINISM","3"\
"HIST 342","MODERN CHINA","3"\
"HIST 343","AFRICA IN THE MUSEUM","3"\
"HIST 345","THE U. S. AND ASIA","3"\
"HIST 346","COMPUTERS AND SOCIETY","3"\
"HIST 348","U.S. LAW AND TECHNOLOGY","3"\
"HIST 350","AMERICA, 1900-1940","3"\
"HIST 351","AMERICA SINCE 1945","3"\
"HIST 353","HISTORY OF SENSATION","3"\
"HIST 355","GERMAN HISTORY, 1890-1945","3"\
"HIST 356","GERMAN HISTORY, 1945 - PRESENT","3"\
"HIST 357","JEWS & CHRISTIANS-MEDIEVAL EUR","3"\
"HIST 358","HUMANITARIANISM FROM 19TH C.","3"\
"HIST 361","TUDORS AND STUARTS, 1485-1707","3"\
"HIST 365","WORLD ECONOMIC HISTORY","3"\
"HIST 368","THE AGE OF ISLAMIC EMPIRE","3"\
"HIST 370","EUROPEAN INTELLECTUAL HISTORY","3"\
"HIST 372","IMMIGRATION AND THE STATE","3"\
"HIST 373","19TH C SOC/POLITICAL THOUGHT","3"\
"HIST 374","JEWISH HISTORY, 1500-1948","3"\
"HIST 375","EUROPEAN ROMANTICISM 1750-1850","3"\
"HIST 378","MODERN ARAB HISTORY","3"\
"HIST 380","ASIAN AMERICAN HISTORY","3"\
"HIST 381","GOD, TIME AND HISTORY","3"\
"HIST 391","QUEER HISTORY","3"\
"HIST 392","PRE-MOD POLITICAL THOUGHT","3"\
"HIST 395","THE AMERICAN SOUTH","3"\
"HUMA 107","GREEK CIVILIZATION & LEGACY","3"\
"HUMA 111","ROMAN CIVILIZATION &ITS LEGACY","3"\
"HUMA 120","WHERE IS UTOPIA?","3"\
"HUMA 121","IS ALL THE WORLD A STAGE?","3"\
"HUMA 122","WHO SHOULD VOTE?","3"\
"HUMA 123","WHO WHAT WHY IS DISNEY?","3"\
"HUMA 124","IS THIS THE END?","3"\
"HUMA 125","WHAT IS ETHICAL: BIG QUESTIONS","3"\
"HUMA 126","WHAT IS THE MEANING OF DEATH?","3"\
"HUMA 127","WHAT IS HATE?","3"\
"HUMA 128","WHY DID SO MANY DIE?","3"\
"HUMA 129","WHO IS A TERRORIST?","3"\
"HUMA 130","WHAT IS A CLASSIC?","3"\
"HUMA 131","WHAT IS AN (AB)NORMAL BODY?","3"\
"HUMA 132","WHAT IS HOME?","3"\
"HUMA 134","WHAT IS LOVE?","3"\
"HUMA 135","WHAT IS CAPITALISM?","3"\
"HUMA 137","WHAT IS DEMOCRACY IN AMERICA?","3"\
"HUMA 202","CULTURE ENERGY & ENVIRONMENT","3"\
"HUMA 314","COMMUNICATION/TECHNOLOGY/CHANG","3"\
"HUMA 321","FOUNDATIONS OF LEADERSHIP","3"\
"HUMA 322","MARX, FREUD, EINSTEIN","3"\
"HUMA 324","BERLIN:RESIDENCE,METRO,CAPITAL","3"\
"HUMA 325","MODERN GERMAN WRITERS: KAFKA","3"\
"HUMA 372","GERMAN FAIRY TALE: OLD & NEW","3"\
"HURC 361","THE HUMANITIES OF CARE","3"\
"ITAL 263","SECOND YEAR ITALIAN I","3"\
"ITAL 264","SECOND YEAR ITALIAN II","3"\
"ITAL 301","THIRD YEAR ITALIAN I","3"\
"ITAL 302","THIRD YEAR ITALIAN II","3"\
"JAPA 263","SECOND YEAR JAPANESE I","3"\
"JAPA 264","SECOND YEAR JAPANESE II","3"\
"JAPA 301","THIRD YEAR JAPANESE I","3"\
"JAPA 302","THIRD YEAR JAPANESE II","3"\
"JWST 130","ANTI-SEMITISM AND ISLAMOPHOBIA","3"\
"JWST 201","GREAT BOOKS OF JEWISH CULTURE","3"\
"JWST 317","JEWISH GRAPHIC NOVEL","3"\
"KORE 206","ACCEL 2ND YEAR KOREAN","3"\
"KORE 263","SECOND YEAR KOREAN I","3"\
"KORE 264","SECOND YEAR KOREAN II","3"\
"KORE 301","THIRD YEAR KOREAN I","3"\
"KORE 302","THIRD YEAR KOREAN II","3"\
"KORE 321","KOREAN SOCIETY AND CULTURE","3"\
"LALX 158","INTRO LATIN AMERICAN STUDIES","3"\
"LALX 230","INTRO TO LATINX LITERATURE","3"\
"LALX 251","BRAZIL: CONTINUITY & CHANGE","3"\
"LALX 332","U.S. LATINE MENTAL HEALTH","3"\
"LALX 350","PIRATES, REBELS, NARCOS","3"\
"LALX 378","LATIN AM. POLITICAL THOUGHT","3"\
"LALX 390","TECH CULTURE & SOC IN LATIN AM","3"\
"LATI 201","INTERMEDIATE LATIN I: PROSE","3"\
"LATI 202","INTERMEDIATE LATIN II","3"\
"LATI 301","CICERO AND SALLUST","3"\
"LATI 306","OVID'S METAMORPHOSES","3"\
"LATI 309","CLASSICS/EUROPEAN RENAISSANCE","3"\
"LATI 312","LATIN LOVE ELEGY","3"\
"LATI 313","CICERO AND CATULLUS","3"\
"LATI 316","READINGS IN VIRGIL'S AENEID","3"\
"LATI 350","TRANSLATING LATIN LITERATURE","3"\
"LING 336","INTRO TO INDO-EUROPEAN","3"\
"MDEM 103","INTRO TO JEWISH MYSTICISM","3"\
"MDEM 111","INTRO TO HIST OF ART I","3"\
"MDEM 120","MEDIEVAL CIVILIZATIONS","3"\
"MDEM 205","MEDIEVAL MEDITERRANEAN WORLD","3"\
"MDEM 210","MEDIEVAL VIOLENCE","3"\
"MDEM 211","INTERMEDIATE LATIN I: PROSE","3"\
"MDEM 212","INTERMEDIATE LATIN II","3"\
"MDEM 222","MEDIEVAL AND RENAISSANCE ERAS","3"\
"MDEM 271","MEDIEVAL POPULAR CHRISTIANITY","3"\
"MDEM 281","GOLDEN AGE OF ISLAM","3"\
"MDEM 316","CHAUCER","3"\
"MDEM 317","ARTHURIAN LITERATURE","3"\
"MDEM 323","BUDDHIST & DAOIST ART & RITUAL","3"\
"MDEM 324","COEXISTENCE IN MEDIEVAL SPAIN","3"\
"MDEM 327","MEDIEVAL BORDERLANDS","3"\
"MDEM 330","EARLY MEDIEVAL ART","3"\
"MDEM 332","ART OF THE COURTS","3"\
"MDEM 340","NORTHERN RENAISSANCE ART","3"\
